Record Count,Loaded to Repository,Survey,Year,Species Code,Common Name,Scientific Name,Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Length (mm),Number of Males,Number of Females,Number Unsexed,Total Number
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,330,490209,2752819,0,3243029
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,340,1216652,3808418,0,5025070
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,350,1684345,3133891,0,4818236
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,360,1550066,1558556,0,3108622
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,370,1016585,1700365,0,2716950
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,380,395838,828943,0,1224781
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,390,193758,557526,0,751284
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,400,47858,0,0,47858
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,311,Central Aleutians,1,100,Petrel Bank,ALEUTIANS,NORTH,410,0,47858,0,47858
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,210,0,2460,0,2460
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,220,14955,4920,0,19875
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,230,13469,0,0,13469
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,240,38030,11895,0,49925
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,250,22122,56138,0,78260
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,260,97911,134808,0,232720
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,270,86006,136839,0,222845
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,280,212326,121305,0,333632
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,290,1115740,97035,0,1212775
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,300,572565,369509,0,942074
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,310,2557306,800612,0,3357918
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,320,2778355,802676,0,3581031
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,330,2434926,199762,0,2634688
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,340,3944526,551697,0,4496223
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,350,6289429,821320,0,7110750
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,360,5334755,917522,0,6252277
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,370,4663655,773120,0,5436775
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,380,748416,1081376,0,1829792
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,390,284963,1597884,0,1882847
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,400,3060,778213,0,781273
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,410,138788,567839,0,706627
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,312,Central Aleutians,101,200,Petrel Bank,ALEUTIANS,NORTH,420,0,277576,0,277576
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,260,73920,147840,0,221760
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,270,73920,10046,0,83966
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,280,157886,83966,0,241852
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,290,82191,90461,0,172652
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,300,180923,51400,0,232323
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,310,509550,262461,0,772011
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,320,101025,143637,0,244662
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,330,168449,49625,0,218074
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,340,182698,231806,0,414504
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,350,424550,46680,0,471229
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,360,1390228,580008,0,1970236
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,370,2079149,262978,0,2342127
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,380,2018220,702382,0,2720603
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,390,1707775,235873,0,1943648
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,400,471882,286756,0,758638
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,321,Central Aleutians,1,100,N Central Aleutians,ALEUTIANS,NORTH,410,221760,18317,0,240076
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,322,Central Aleutians,101,200,N Central Aleutians,ALEUTIANS,NORTH,280,17931,0,0,17931
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,322,Central Aleutians,101,200,N Central Aleutians,ALEUTIANS,NORTH,290,28209,42855,0,71063
